관측연월,westsea_anomaly,eastsea_anomaly,eastchina_anomaly,eastasia_anomaly,global_anomaly,eastsea,산불발생일시,burned_time,burned_area,mungyeong_temp,문경최고기온(℃),문경최저기온(℃)
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,14.6,2023-11-30,240,1.5,-3,0.2,-6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,14.6,2023-11-30,230,0.3,-3,0.2,-6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.4,2023-11-28,121,0.21,3.4,7.5,-0.4
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.6,2023-11-27,109,0.04,5,8.5,2.6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,14.6,2023-11-26,41,0.01,3.9,10.6,-3.4
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,14.6,2023-11-26,79,0.09,3.9,10.6,-3.4
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,14.6,2023-11-26,83,0.01,3.9,10.6,-3.4
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,14.8,2023-11-24,145,0.1,0.8,5.2,-2.9
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.5,2023-11-23,84,0.1,11,18.2,5.2
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.8,2023-11-21,415,1.85,5.7,15.4,-2.9
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.8,2023-11-21,68,0.14,5.7,15.4,-2.9
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.2,2023-11-20,258,0.72,6.6,13.6,0.6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.2,2023-11-18,41,0.03,1.5,5.6,-3.8
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.4,2023-11-17,51,0.01,3.4,7.8,-0.8
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.8,2023-11-13,55,0.13,3.2,8.2,-1.6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.8,2023-11-13,196,0.08,3.2,8.2,-1.6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,15.8,2023-11-13,122,0.01,3.2,8.2,-1.6
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,16.1,2023-11-12,94,0.01,2.1,6,-1.2
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,16.1,2023-11-12,231,0.01,2.1,6,-1.2
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,16.9,2023-11-11,71,0.5,3.6,7.9,-1
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,17.2,2023-11-09,50,0.05,10.1,17.5,1.1
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,17.2,2023-11-09,345,0.2,10.1,17.5,1.1
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,16.9,2023-11-08,42,0.02,6.5,15,-0.8
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,18.8,2023-11-03,78,0.08,16.5,24.7,8.7
202311,-0.010631,0.064838,0.02862,0.059741,0.072873,18.9,2023-11-02,1374,12.5,16,27.1,9.7
202310,0.03556,0.102746,0.046499,0.06987,0.07124,18.9,2023-10-31,107,0.01,,,
202310,0.03556,0.102746,0.046499,0.06987,0.07124,18.4,2023-10-29,90,0.01,10.9,18.8,4.6
202310,0.03556,0.102746,0.046499,0.06987,0.07124,19.6,2023-10-27,493,0.27,13.2,18.1,7.9
202310,0.03556,0.102746,0.046499,0.06987,0.07124,20.1,2023-10-24,150,0.01,13,20.3,6.9
202310,0.03556,0.102746,0.046499,0.06987,0.07124,20.1,2023-10-24,594,0.22,13,20.3,6.9
202310,0.03556,0.102746,0.046499,0.06987,0.07124,20.4,2023-10-22,49,0.04,11.7,18.9,4.2
202310,0.03556,0.102746,0.046499,0.06987,0.07124,20.6,2023-10-21,41,0.03,9.1,16.1,2.6
202310,0.03556,0.102746,0.046499,0.06987,0.07124,21.9,2023-10-18,472,0.06,12.5,22.8,4.3
202310,0.03556,0.102746,0.046499,0.06987,0.07124,21.9,2023-10-18,26,0.01,12.5,22.8,4.3
202310,0.03556,0.102746,0.046499,0.06987,0.07124,21.9,2023-10-18,179,0.4,12.5,22.8,4.3
202310,0.03556,0.102746,0.046499,0.06987,0.07124,21.9,2023-10-18,59,0.01,12.5,22.8,4.3
202310,0.03556,0.102746,0.046499,0.06987,0.07124,22.8,2023-10-11,109,0.11,14.4,22.2,8.7
202310,0.03556,0.102746,0.046499,0.06987,0.07124,22.4,2023-10-05,885,0.49,14,18.9,9.5
202309,0.097963,0.100636,0.089098,0.078554,0.070048,25.8,2023-09-10,34,0.01,22.1,28.8,16.4
202309,0.097963,0.100636,0.089098,0.078554,0.070048,25.7,2023-09-08,130,0.03,21.5,28.1,15.1
202308,0.08844,0.082447,0.066176,0.086579,0.070717,25.9,2023-08-20,315,0.1,26.4,33.4,22.4
202306,0.098296,0.10595,0.092092,0.08682,0.069937,19.4,2023-06-20,224,0.02,21.5,25.7,17.1
202306,0.098296,0.10595,0.092092,0.08682,0.069937,19.2,2023-06-19,125,0.13,24.5,31.9,18.4
202306,0.098296,0.10595,0.092092,0.08682,0.069937,19.2,2023-06-19,167,0.1,24.5,31.9,18.4
202306,0.098296,0.10595,0.092092,0.08682,0.069937,19.2,2023-06-19,85,0.05,24.5,31.9,18.4
202306,0.098296,0.10595,0.092092,0.08682,0.069937,20,2023-06-18,181,0.05,26.5,32.7,21.6
202306,0.098296,0.10595,0.092092,0.08682,0.069937,20,2023-06-18,62,0.09,26.5,32.7,21.6
202306,0.098296,0.10595,0.092092,0.08682,0.069937,19.2,2023-06-15,106,0.05,19.4,24.8,15.5
202306,0.098296,0.10595,0.092092,0.08682,0.069937,18.3,2023-06-14,188,0.03,19.6,26.9,14.8
202306,0.098296,0.10595,0.092092,0.08682,0.069937,17.7,2023-06-13,249,0.06,21.8,28.8,16.4
202306,0.098296,0.10595,0.092092,0.08682,0.069937,16.4,2023-06-12,171,0.02,22.6,28.6,16.6
202306,0.098296,0.10595,0.092092,0.08682,0.069937,19.4,2023-06-03,151,0.01,22,27.2,15.6
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.5,2023-05-27,65,0.02,19.5,21.7,16.8
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.5,2023-05-27,397,0.4,19.5,21.7,16.8
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.7,2023-05-26,644,0.6,21.4,26.5,16.4
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.7,2023-05-26,73,0.09,21.4,26.5,16.4
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.9,2023-05-25,120,0.03,21.1,27.5,13.3
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.9,2023-05-25,97,0.05,21.1,27.5,13.3
202305,0.117584,0.08536,0.09191,0.076491,0.06897,17,2023-05-24,107,0.02,17.5,25.3,8.6
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.3,2023-05-23,188,0.6,16.9,25,10.2
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.3,2023-05-23,15,0.02,16.9,25,10.2
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.3,2023-05-23,67,0.1,16.9,25,10.2
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.3,2023-05-23,60,0.06,16.9,25,10.2
202305,0.117584,0.08536,0.09191,0.076491,0.06897,16.6,2023-05-22,41,0.01,17.3,21.5,13.5
202305,0.117584,0.08536,0.09191,0.076491,0.06897,15.8,2023-05-17,259,0.13,22.7,31.8,11.7
